date,product,store,sales,lag_1,lag_7,rolling_mean,day_of_week,forecast
2022-02-06,P3,S2,20,33.0,43.0,28.428571428571427,6,24.202039840946203
2022-02-06,P2,S1,27,34.0,30.0,30.142857142857142,6,29.087286368272053
2022-02-06,P1,S1,26,32.0,31.0,31.571428571428573,6,30.56046503678152
2022-02-06,P1,S2,28,35.0,34.0,33.42857142857143,6,29.1944189098625
2022-02-07,P1,S1,23,26.0,23.0,31.571428571428573,0,20.18281852592889
2022-02-07,P1,S2,11,28.0,15.0,30.857142857142858,0,19.37768792031454
2022-02-07,P2,S1,17,27.0,14.0,30.714285714285715,0,19.23295008368807
2022-02-07,P2,S2,25,30.0,22.0,30.285714285714285,0,19.6807678185446
2022-02-07,P3,S1,20,41.0,18.0,31.285714285714285,0,20.30150087343333
2022-02-07,P3,S2,14,20.0,23.0,29.571428571428573,0,19.21965657803426
2022-02-08,P3,S2,16,14.0,24.0,26.571428571428573,1,19.065791385105015
2022-02-08,P3,S1,20,20.0,17.0,25.714285714285715,1,19.35402108897672
2022-02-08,P2,S2,21,25.0,12.0,25.285714285714285,1,19.52799008028012
2022-02-08,P1,S1,16,23.0,22.0,24.714285714285715,1,19.683403455865
2022-02-08,P1,S2,23,11.0,19.0,22.0,1,19.392945041294634
2022-02-08,P2,S1,16,17.0,15.0,18.571428571428573,1,20.292629078227744
2022-02-09,P3,S2,24,16.0,20.0,18.0,2,19.65775938573665
2022-02-09,P3,S1,16,20.0,15.0,18.857142857142858,2,19.4521756546141
2022-02-09,P2,S2,20,21.0,21.0,19.0,2,20.200848753183962
2022-02-09,P1,S2,23,23.0,13.0,18.714285714285715,2,19.804152451468273
2022-02-09,P1,S1,30,16.0,21.0,17.714285714285715,2,19.95441284852265
2022-02-09,P2,S1,9,16.0,20.0,18.428571428571427,2,19.595391896613087
2022-02-10,P1,S1,16,30.0,20.0,20.285714285714285,3,19.531246390110212
2022-02-10,P1,S2,19,23.0,14.0,21.285714285714285,3,19.64660965617667
2022-02-10,P2,S1,22,9.0,21.0,19.714285714285715,3,21.294957421994695
2022-02-10,P2,S2,24,20.0,22.0,19.571428571428573,3,19.896110736914988
2022-02-10,P3,S1,13,16.0,25.0,18.571428571428573,3,18.519815001945666
2022-02-10,P3,S2,18,24.0,25.0,19.714285714285715,3,20.437548316934897
2022-02-11,P3,S2,24,18.0,39.0,20.0,4,21.447778619971373
2022-02-11,P3,S1,13,13.0,22.0,17.571428571428573,4,18.49885428540615
2022-02-11,P2,S2,22,24.0,22.0,17.714285714285715,4,20.24577791325182
2022-02-11,P1,S1,17,16.0,13.0,18.714285714285715,4,19.16527672717621
2022-02-11,P1,S2,16,19.0,15.0,18.571428571428573,4,19.25845447135158
2022-02-11,P2,S1,28,22.0,22.0,19.428571428571427,4,20.24616983973889
2022-02-12,P3,S2,26,24.0,33.0,19.428571428571427,5,28.623675515389312
2022-02-12,P3,S1,36,13.0,28.0,18.714285714285715,5,31.176707571993642
2022-02-12,P2,S2,27,22.0,33.0,20.0,5,28.789750811036107
2022-02-12,P1,S2,35,16.0,35.0,18.857142857142858,5,31.863250813521677
2022-02-12,P1,S1,40,17.0,32.0,19.0,5,31.112667323147065
2022-02-12,P2,S1,22,28.0,34.0,20.285714285714285,5,28.363417623154486
2022-02-13,P1,S1,32,40.0,26.0,22.857142857142858,6,30.10376057480862
2022-02-13,P1,S2,33,35.0,28.0,24.428571428571427,6,30.365219959821065
2022-02-13,P2,S1,25,22.0,27.0,25.714285714285715,6,29.006736992877805
2022-02-13,P2,S2,29,27.0,30.0,26.428571428571427,6,29.588698868676985
2022-02-13,P3,S1,13,36.0,41.0,29.285714285714285,6,19.39078816312674
2022-02-13,P3,S2,24,26.0,20.0,30.571428571428573,6,27.30696040676328
2022-02-14,P3,S1,17,13.0,20.0,28.428571428571427,0,19.00629484185021
2022-02-14,P1,S1,18,32.0,23.0,27.285714285714285,0,20.122280893509075
2022-02-14,P1,S2,13,33.0,11.0,27.0,0,17.088392932407793
2022-02-14,P2,S1,28,25.0,17.0,27.428571428571427,0,19.7675499236248
2022-02-14,P2,S2,12,29.0,25.0,27.714285714285715,0,19.769715137624083
2022-02-14,P3,S2,20,24.0,14.0,26.0,0,18.756577058782693
2022-02-15,P3,S2,22,20.0,16.0,25.142857142857142,1,19.460703483520543
2022-02-15,P2,S2,20,12.0,21.0,25.0,1,19.508441242094587
2022-02-15,P3,S1,15,17.0,20.0,22.857142857142858,1,19.20884538526926
2022-02-15,P1,S2,12,13.0,23.0,20.0,1,19.900652195212682
2022-02-15,P1,S1,27,18.0,16.0,19.0,1,20.22454883051985
2022-02-15,P2,S1,25,28.0,16.0,18.857142857142858,1,20.407727020823867
2022-02-16,P1,S1,20,27.0,30.0,19.285714285714285,2,19.170426754402353
2022-02-16,P1,S2,16,12.0,23.0,18.142857142857142,2,19.63663764572755
2022-02-16,P2,S1,20,25.0,9.0,20.0,2,18.484434675001577
2022-02-16,P2,S2,18,20.0,20.0,20.428571428571427,2,19.826100659839828
2022-02-16,P3,S1,20,15.0,16.0,20.714285714285715,2,19.544846440116086
2022-02-16,P3,S2,23,22.0,24.0,21.285714285714285,2,20.834871627317312
2022-02-17,P1,S1,27,20.0,16.0,20.142857142857142,3,19.932996071230846
2022-02-17,P1,S2,13,16.0,19.0,18.571428571428573,3,19.819286456507594
2022-02-17,P2,S1,30,20.0,22.0,19.714285714285715,3,20.54638607315035
2022-02-17,P2,S2,10,18.0,24.0,18.714285714285715,3,19.353488116768673
2022-02-17,P3,S1,19,20.0,13.0,18.714285714285715,3,18.98758351546147
2022-02-17,P3,S2,22,23.0,18.0,19.857142857142858,3,20.301080247998215
2022-02-18,P3,S2,24,22.0,24.0,19.857142857142858,4,20.799248027316533
2022-02-18,P2,S2,17,10.0,22.0,18.428571428571427,4,20.039814720609233
2022-02-18,P3,S1,17,19.0,13.0,18.857142857142858,4,18.7014377248723
2022-02-18,P1,S2,16,13.0,16.0,17.857142857142858,4,18.70541958474923
2022-02-18,P2,S1,18,30.0,28.0,19.571428571428573,4,19.640568514964116
2022-02-18,P1,S1,21,27.0,17.0,20.571428571428573,4,20.691774484060797
2022-02-19,P3,S1,34,17.0,36.0,19.714285714285715,5,29.869825091604085
2022-02-19,P2,S2,31,17.0,27.0,19.0,5,29.871853759752724
2022-02-19,P3,S2,33,24.0,26.0,21.0,5,28.79768319450667
2022-02-19,P1,S2,26,16.0,35.0,20.571428571428573,5,28.687694085909182
2022-02-19,P1,S1,31,21.0,40.0,21.714285714285715,5,29.891460830076213
2022-02-19,P2,S1,34,18.0,22.0,20.0,5,31.926187441759097
2022-02-20,P1,S1,25,31.0,32.0,20.571428571428573,6,28.27469840780511
2022-02-20,P1,S2,27,26.0,33.0,21.857142857142858,6,28.32376502988732
2022-02-20,P2,S1,33,34.0,25.0,24.285714285714285,6,30.719173323496523
2022-02-20,P2,S2,33,31.0,29.0,25.285714285714285,6,30.965282954280283
2022-02-20,P3,S1,29,34.0,13.0,27.857142857142858,6,27.484778205797248
2022-02-20,P3,S2,30,33.0,24.0,29.571428571428573,6,29.450564092017174
2022-02-21,P3,S1,18,29.0,17.0,31.142857142857142,0,19.43448790584765
2022-02-21,P3,S2,25,30.0,20.0,31.0,0,19.665592887500388
2022-02-21,P2,S2,18,33.0,12.0,32.0,0,19.223524595765536
2022-02-21,P1,S1,26,25.0,18.0,30.714285714285715,0,19.881780114974287
2022-02-21,P1,S2,17,27.0,13.0,30.142857142857142,0,19.583276748647556
2022-02-21,P2,S1,22,33.0,28.0,30.0,0,19.975654245787876
2022-02-22,P1,S1,24,26.0,27.0,29.0,1,20.417298994123822
2022-02-22,P1,S2,24,17.0,12.0,27.285714285714285,1,20.32056160152954
2022-02-22,P2,S1,26,22.0,25.0,26.142857142857142,1,19.95864056338964
2022-02-22,P2,S2,20,18.0,20.0,24.0,1,19.230787545777467
2022-02-22,P3,S1,23,18.0,15.0,23.0,1,19.547673357866454
2022-02-22,P3,S2,18,25.0,22.0,22.714285714285715,1,20.00523215587116
2022-02-23,P3,S1,15,23.0,20.0,21.285714285714285,2,20.236708001717282
2022-02-23,P2,S2,22,20.0,18.0,20.428571428571427,2,20.027743164764136
2022-02-23,P3,S2,30,18.0,23.0,20.571428571428573,2,20.389278118822407
2022-02-23,P1,S2,19,24.0,16.0,20.857142857142858,2,19.448776181487805
2022-02-23,P1,S1,21,24.0,20.0,21.714285714285715,2,19.779399317799502
2022-02-23,P2,S1,20,26.0,20.0,22.857142857142858,2,19.931323923081283
2022-02-24,P3,S1,23,15.0,19.0,21.428571428571427,3,18.9393512287331
2022-02-24,P2,S2,23,22.0,10.0,21.285714285714285,3,20.431245992817015
2022-02-24,P3,S2,23,30.0,22.0,22.714285714285715,3,20.202342656539027
2022-02-24,P1,S2,13,19.0,13.0,22.857142857142858,3,18.468357854625435
2022-02-24,P1,S1,14,21.0,27.0,22.428571428571427,3,18.078492307989276
2022-02-24,P2,S1,25,20.0,30.0,21.857142857142858,3,19.159799402290012
2022-02-25,P1,S1,19,14.0,21.0,20.142857142857142,4,20.076131090299455
2022-02-25,P1,S2,15,13.0,16.0,19.857142857142858,4,18.95473323670809
2022-02-25,P2,S1,20,25.0,18.0,20.285714285714285,4,20.35884583222615
2022-02-25,P2,S2,16,23.0,17.0,19.285714285714285,4,18.686386881317254
2022-02-25,P3,S1,24,23.0,17.0,19.857142857142858,4,20.630893677931766
2022-02-25,P3,S2,19,23.0,24.0,20.142857142857142,4,20.148580122216966
2022-02-26,P3,S1,25,24.0,34.0,20.714285714285715,5,28.603949315855957
2022-02-26,P2,S2,27,16.0,31.0,21.0,5,29.022094279007778
2022-02-26,P3,S2,31,19.0,33.0,21.857142857142858,5,28.954172813629807
2022-02-26,P1,S2,28,15.0,26.0,20.428571428571427,5,29.499729995896683
2022-02-26,P1,S1,25,19.0,31.0,19.857142857142858,5,29.11421235958251
2022-02-26,P2,S1,32,20.0,34.0,19.428571428571427,5,29.892883327800053
2022-02-27,P3,S2,22,31.0,30.0,20.571428571428573,6,28.051321585124423
2022-02-27,P3,S1,22,25.0,29.0,20.714285714285715,6,28.21475406440184
2022-02-27,P2,S2,31,27.0,33.0,22.285714285714285,6,28.595328133656427
2022-02-27,P1,S2,27,28.0,27.0,23.571428571428573,6,29.07172595367651
2022-02-27,P2,S1,27,32.0,33.0,26.0,6,29.374503335149488
2022-02-27,P1,S1,31,25.0,25.0,26.857142857142858,6,30.353944794515755
2022-02-28,P1,S1,16,31.0,26.0,28.428571428571427,0,19.219553141118702
2022-02-28,P1,S2,18,27.0,17.0,27.857142857142858,0,19.48738224099887
2022-02-28,P2,S1,21,27.0,22.0,28.142857142857142,0,19.657078907384214
2022-02-28,P2,S2,27,31.0,18.0,28.714285714285715,0,19.81074209372391
2022-02-28,P3,S1,24,22.0,18.0,27.857142857142858,0,19.87800532252055
2022-02-28,P3,S2,19,22.0,25.0,26.428571428571427,0,19.949246594776948
2022-03-01,P3,S2,15,19.0,18.0,25.571428571428573,1,19.30952766343009
2022-03-01,P3,S1,21,24.0,23.0,24.571428571428573,1,20.162495036214327
2022-03-01,P2,S2,18,27.0,20.0,24.571428571428573,1,19.794437401284736
2022-03-01,P1,S1,19,16.0,24.0,23.0,1,19.088283444666896
2022-03-01,P1,S2,14,18.0,24.0,21.142857142857142,1,19.591780844994148
2022-03-01,P2,S1,19,21.0,26.0,21.0,1,19.447236127969077
2022-03-02,P3,S1,23,21.0,15.0,20.857142857142858,2,19.756511225452428
2022-03-02,P3,S2,17,15.0,30.0,20.285714285714285,2,19.291894553248532
2022-03-02,P2,S2,22,18.0,22.0,19.428571428571427,2,19.907986586046285
2022-03-02,P1,S1,22,19.0,21.0,18.285714285714285,2,19.926637094927564
2022-03-02,P1,S2,27,14.0,19.0,18.0,2,19.320075055910227
2022-03-02,P2,S1,19,19.0,20.0,18.142857142857142,2,19.760857248415775
2022-03-03,P1,S1,21,22.0,14.0,18.285714285714285,3,19.71452934402585
2022-03-03,P1,S2,20,27.0,13.0,19.142857142857142,3,19.868448214122587
2022-03-03,P2,S1,20,19.0,25.0,19.714285714285715,3,19.575842236734694
2022-03-03,P2,S2,16,22.0,23.0,20.285714285714285,3,20.218115213134887
2022-03-03,P3,S1,20,23.0,23.0,20.857142857142858,3,20.202439327001553
2022-03-03,P3,S2,22,17.0,23.0,21.285714285714285,3,20.001979998766725
2022-03-04,P3,S1,24,20.0,24.0,21.428571428571427,4,19.925352833769384
2022-03-04,P3,S2,20,22.0,19.0,21.428571428571427,4,20.40636354054461
2022-03-04,P2,S2,16,16.0,16.0,19.857142857142858,4,19.290451184528557
2022-03-04,P2,S1,30,20.0,20.0,20.0,4,20.58650054770754
2022-03-04,P1,S2,24,20.0,15.0,19.714285714285715,4,19.992947324489343
2022-03-04,P1,S1,27,21.0,19.0,19.428571428571427,4,19.99621863356317
2022-03-05,P3,S1,19,24.0,25.0,20.428571428571427,5,28.56005464113798
2022-03-05,P3,S2,27,20.0,31.0,20.428571428571427,5,29.29007306325497
2022-03-05,P2,S2,27,16.0,27.0,19.571428571428573,5,29.116862719723404
2022-03-05,P1,S1,40,27.0,25.0,21.142857142857142,5,29.760350195999212
2022-03-05,P1,S2,25,24.0,28.0,21.714285714285715,5,28.565528205103472
2022-03-05,P2,S1,25,30.0,32.0,23.142857142857142,5,29.219861130177797
2022-03-06,P1,S1,26,40.0,31.0,25.857142857142858,6,28.72347992516754
2022-03-06,P1,S2,30,25.0,27.0,26.0,6,29.523389389368184
2022-03-06,P2,S1,31,25.0,27.0,26.714285714285715,6,30.946209753885622
